fichier,type_page1,faisabilite,detail
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI5_6_7.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI8_9_10.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRIBOU.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI_LEGEND.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_01A04_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"INCERTAIN — aucun span nettement plus grand détecté en haut de page ; cas potentiellement proche de ASUP2AD5 (labels de carte uniquement, pas de cartouche titre repérable par la taille de police)","n_spans=57, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_05_06_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 17.8pt) détecté en haut de page (candidat: 'IV') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=61, image_area_ratio=1.00, n_outliers_top=17"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_07_08_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 15.8pt) détecté en haut de page (candidat: 'IX') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=66, image_area_ratio=1.00, n_outliers_top=6"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_09_10_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 19.9pt) détecté en haut de page (candidat: 'XVII') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=58, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_11_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 17.8pt) détecté en haut de page (candidat: 'III') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=47, image_area_ratio=1.00, n_outliers_top=5"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_12_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'IV') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=177, image_area_ratio=1.00, n_outliers_top=19"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_13_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'V') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=174, image_area_ratio=1.00, n_outliers_top=7"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_14_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'VI') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=294, image_area_ratio=1.00, n_outliers_top=8"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_15_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'VII') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=207, image_area_ratio=1.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_16_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 12.0pt) détecté en haut de page (candidat: 'XVII') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=59, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_17_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (19.9pt vs médiane 7.0pt) détecté en haut de page (candidat: 'CLICHY - BATIGNOLLES') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=306, image_area_ratio=1.00, n_outliers_top=3"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_18_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (19.9pt vs médiane 7.0pt) détecté en haut de page (candidat: 'ST - OUEN') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=204, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_19_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'XVIII') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=187, image_area_ratio=1.00, n_outliers_top=10"
Ressources/PLU bioclimatique/Annexes/Plans autres périmètres/A15152_20_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (36.0pt vs médiane 7.0pt) détecté en haut de page (candidat: 'XIX') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=111, image_area_ratio=1.00, n_outliers_top=4"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN10.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN11_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN1_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN2A_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN2B_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=5, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN3.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN4_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=6, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN5_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=24.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN6.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN7.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN8_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Textes et documents illustrés/ANN9.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=24.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_BARTHOLOME_BRANCION.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_BEAUGRENELLE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_BEDIER_OUDINE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_BERCY_CHARENTON.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_GARE_DE_LYON_DAUMESNIL.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_MAINE_MONTPARNASSE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=11, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_OLYMPIADES.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_PARIS_NORD_EST.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=9, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_PARIS_RIVE_GAUCHE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_PAUL_BOURGET.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_PORTES_EST.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=9, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_SAINT_VINCENT_DE_PAUL.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Sectorielles/OAP_SUZANNE_LENGLEN.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_BIODIVERSITE.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=6, max_size=20.0, median_size=17.5, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_CONSTRUCTION.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=17, max_size=20.0, median_size=10.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_ESPACE_PUBLIC.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=17, max_size=20.0, median_size=10.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_HERITAGE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=12, max_size=20.0, median_size=10.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_METROPOLE.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=5, max_size=20.0, median_size=20.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_QUART_HEURE.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=5, max_size=20.0, median_size=20.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/OAP/Thématiques/OAP_SANTE.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=5, max_size=20.0, median_size=20.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/PADD/PADD.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=20.1, median_size=20.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_20251017_MC1_HOTEL_DIEU.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=11, max_size=146.7, median_size=26.0, image_area_ratio=0.05"
Ressources/PLU bioclimatique/Rapport de présentation/RP_CHOIX.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (20.1pt vs médiane 10.0pt) détecté en haut de page (candidat: 'RAPPORT DE PRÉSENTATION ') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=30, image_area_ratio=1.00, n_outliers_top=1"
Ressources/PLU bioclimatique/Rapport de présentation/RP_DE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=6, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_DIAGNOSTIC.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=6, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_EIE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.1, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_EVAL.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.1, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_INDIC.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=8, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_PREAMBULE.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=6, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/RP_RNT.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=7, max_size=20.0, median_size=15.0, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Rapport de présentation/Rapport_presentation_MS1.pdf,couverture / page de titre (linéaire),"OUI — plus grande taille de police en haut de page (méthode gap-Y validée sur PADD.pdf, OAP_BARTHOLOME_BRANCION.pdf)","n_spans=6, max_size=20.0, median_size=11.0, image_area_ratio=0.98"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Alignements arbres/DG_H_ARBRALIG_NE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'André') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=18035, image_area_ratio=0.00, n_outliers_top=422"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Alignements arbres/DG_H_ARBRALIG_NO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rebière') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=12942, image_area_ratio=0.00, n_outliers_top=408"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Alignements arbres/DG_H_ARBRALIG_SE.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'Rue') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=15311, image_area_ratio=0.00, n_outliers_top=515"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Alignements arbres/DG_H_ARBRALIG_SO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (3.8pt vs médiane 2.2pt) détecté en haut de page (candidat: 'François') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=13216, image_area_ratio=0.00, n_outliers_top=542"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Boulogne/BBC.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=311
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Boulogne/BBN.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (18.0pt vs médiane 4.3pt) détecté en haut de page (candidat: 'B1') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=725, image_area_ratio=0.00, n_outliers_top=12"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Boulogne/BBRG.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (13.9pt vs médiane 4.3pt) détecté en haut de page (candidat: 'ʌ Bois de Boulogne - Sud ʌ') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=492, image_area_ratio=0.00, n_outliers_top=6"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Boulogne/BBS.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=395
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Boulogne/LEG2000.pdf,linéaire (texte courant),"OUI — pas de contrainte de mise en page particulière, méthode gap-Y applicable","n_spans=150, max_size=19.9, median_size=9.8"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Vincennes/BVNE.pdf,linéaire (texte courant),"OUI — pas de contrainte de mise en page particulière, méthode gap-Y applicable","n_spans=220, max_size=21.8, median_size=4.8"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Vincennes/BVO.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (7.9pt vs médiane 4.8pt) détecté en haut de page (candidat: '12-12') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=728, image_area_ratio=0.00, n_outliers_top=56"
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Vincennes/BVSE.pdf,"sommaire / table des matières (linéaire, dense)",OUI — méthode d'ancrage titre validée (études REG1/REG2 de cette session),n_spans=257
Ressources/PLU bioclimatique/Règlement/Documents graphiques/Atlas 1/Bois Vincennes/LEG2000.pdf,linéaire (texte courant),"OUI — pas de contrainte de mise en page particulière, méthode gap-Y applicable","n_spans=150, max_size=19.9, median_size=9.8"
